Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
561.64,00:09:21,91,648.44
561.64,00:09:21,,640.62
562.57,00:09:22,91,625.00
562.57,00:09:22,,609.38
563.61,00:09:23,92,605.47
564.54,00:09:24,93,617.19
564.54,00:09:24,,652.34
565.59,00:09:25,93,652.34
566.52,00:09:26,94,660.16
566.52,00:09:26,,671.88
567.59,00:09:27,93,687.50
568.52,00:09:28,92,699.22
568.52,00:09:28,,691.41
569.55,00:09:29,91,691.41
570.5,00:09:30,89,695.31
570.5,00:09:30,,679.69
571.53,00:09:31,88,691.41
572.46,00:09:32,87,666.99
572.46,00:09:32,,656.25
573.5,00:09:33,88,675.78
574.43,00:09:34,88,703.12
575.46,00:09:35,88,707.03
575.46,00:09:35,,707.03
576.5,00:09:36,87,710.94
577.43,00:09:37,86,710.94
577.43,00:09:37,,718.75
579.4,00:09:39,86,695.31
579.4,00:09:39,85,679.69
579.4,00:09:39,,675.78
580.44,00:09:40,86,667.97
581.37,00:09:41,86,652.34
581.37,00:09:41,,640.62
582.39,00:09:42,87,628.91
583.44,00:09:43,89,644.53
583.44,00:09:43,,671.88
584.37,00:09:44,89,695.31
585.39,00:09:45,90,687.50
585.39,00:09:45,,703.12
